,num_people,generic_name,event_type,event_location,manufacturer
466,1,"PUMP, INFUSION",Malfunction,I,CARDIAC PACEMAKERS
468,1,BLOOD GLUCOSE MONITORING TEST STRIPS - LFR,Malfunction,OTHER,"RESPIRONICS CALIFORNIA, INC"
470,1,BLOOD GLUCOSE MONITORING,Malfunction,,MDT PUERTO RICO OPERATIONS CO
471,1,LIGACLIP ENDO ROTATING MCA,Malfunction,NOT APPLICABLE,ETHICON
473,1,BLOOD GLUCOSE MONITORING KIT/SYSTEM,Malfunction,NOT APPLICABLE,MEDTRONIC
474,1,FRN,Malfunction,,BECKMAN COULTER
475,1,"STAPLE, IMPLANTABLE",Malfunction,,MEDTRONIC
476,1,IMPLANTABLE CARDIOVERTER DEFIBRILLATOR,Malfunction,HOSPITAL,BAXTER HEALTHCARE
477,1,INSULIN INFUSION PUMP,Malfunction,I,FRESENIUS
479,1,"SYSTEM, PERITONEAL, AUTOMATIC DELIVERY",Malfunction,,EDWARDS LIFESCIENCES
480,1,MIC PULL PEG KIT,Injury,HOSPITAL,FISHER & PAYKEL
481,1,SPINAL CORD STIMULATOR,Malfunction,I,CYBERONICS
482,1,ENDOSCOPIC MULTIPLE CLIP APPLIER,Injury,NOT APPLICABLE,SULZER INTERMEDICS INC.
483,1,CAPSULE POLISHER,Malfunction,OUTPATIENT TREATMENT FACILITY,"ST. JUDE MEDICAL, INC. (CRM-KISTA)"
484,1,INFUSION PUMP,Malfunction,I,ETHICON
486,1,"PUMP, INFUSION",Malfunction,,BAXTER HEALTHCARE - SINGAPORE
487,1,"SYSTEM, PERITONEAL, AUTOMATIC DELIVERY",Malfunction,,SORIN GROUP DEUTSCHLAND
488,1,INSULIN INFUSION PUMP / SENSOR AUGMENTED,Malfunction,,BAXTER HEALTHCARE
490,1,"SET, ADMINISTRATION, INTRAVASCULAR",Malfunction,,COSTA RICA
493,1,TRACHEOSTOMY TUBE,Injury,,AV-TEMECULA-CT
494,1,BLOOD GLUCOSE MONITORING SYSTEM,Malfunction,,PHILIPS MEDICAL SYSTEMS
496,1,KNEE INSTRUMENT,Malfunction,,GE OEC MEDICAL SYSTEMS
497,1,"SYSTEM, PERITONEAL, AUTOMATIC DELIVERY",Malfunction,,MEDTRONIC
499,1,"SYSTEM, PERITONEAL, AUTOMATIC DELIVERY",Malfunction,,STRYKER
502,1,EXTERNAL PULSE GENERATOR,Malfunction,HOSPITAL,COVIDIEN
503,1,KII FIOX FIRST ENTRY 5 X 100MM OBTURATOR WITH Z-THREAD SLEEVE,Malfunction,NO INFORMATION,LIFESCAN INC.
504,1,"ELECTRODE, PACEMAKER, PERMANENT",Injury,,MEDTRONIC
505,1,HANDOSCOPY LAP DISC,Malfunction,NOT APPLICABLE,ANIMAS CORPORATION
506,1,INSULIN INFUSION PUMP,Malfunction,I,GE MEDICAL SYSTEMS (INDIA) PRIVATE LTD
507,1,INSULIN INFUSION PUMP,Malfunction,I,DEXCOM INC
510,1,,Malfunction,,INVACARE REHABILITATION EQUIP
511,1,INSULIN INFUSION PUMP,Malfunction,,GUIDANT
514,1,VENTILATOR,Malfunction,I,MDT PUERTO RICO OPERATIONS CO
515,1,"STRETCHER, WHEELED",Malfunction,,GIVEN IMAGING LTD.
519,1,"MOTOR, SURGICAL INSTRUMENT, AC-POWERED - FOOT CONTROL",Malfunction,,MEDTRONIC
521,1,,Malfunction,,GE HEALTHCARE
522,1,FLUOROSCOPIC X-RAY,Malfunction,,"LIFESCAN EUROPE, A DIVISION OF CILAG GMBH INTL"
523,1,INSULIN INFUSION PUMP,Malfunction,,LIFESCAN INC.
524,1,GLUCOSE MONITORING SYS/KIT,Malfunction,,CARDIAC PACEMAKERS
527,1,80FRN,Malfunction,,INVACARE REHABILITATION EQUIP
528,1,CORONARY STENT SYSTEM,Injury,UNKNOWN,ETHICON
530,1,MSS - DISPOSABLE INJECTOR,Malfunction,,ST JUDE MEDICAL - NEUROMODULATION
532,1,SCS LEAD,Injury,,GE OEC MEDICAL SYSTEMS
533,1,INSULIN INFUSION PUMP,Malfunction,,ROCHE DIABETES CARE AG
535,1,"SYSTEM, PERITONEAL, AUTOMATIC DELIVERY",Malfunction,,INVACARE FLORIDA OPERATIONS
536,1,"CATHETERS, TRANSLUMINAL CORONARY ANGIOPLASTY, PERCUTANEOUS",Malfunction,,MEDTRONIC
538,1,ASPARTATE AMINO TRANSFERASE (AST/SGOT) TEST SYSTEM,Malfunction,LABORATORY,RICE CREEK MANUFACTURING
539,1,GLUCOSE MONITORING SYS/KIT,Malfunction,,"LIFESCAN EUROPE, A DIVISION OF CILAG GMBH INTL"
541,1,CLIP APPLIER,Malfunction,NOT APPLICABLE,ETHICON
542,1,IMPLANTABLE CARDIOVERTER DEFIBRILLATOR,Injury,HOSPITAL,CPI - DEL CARIBE
545,1,"CCK, DQA",Malfunction,,ANIMAS CORPORATION
548,1,OXYGEN FLOW REGULATOR,Malfunction,HOSPITAL,MAQUET CARDIOVASCULAR
549,1,NC MONORAIL PTCA CATHETER,Malfunction,,"ALCON LABORATORIES, INC"
550,1,MATTRESS,Malfunction,,FISHER & PAYKEL
551,1,CYSTOURETHROSCOPE,Malfunction,,BECKMAN COULTER
552,1,PHYSIOLOGIC PATIENT MONITOR,Death,,LIFESCAN INC.
553,1,80FRN,Malfunction,,LIFESCAN INC.
555,1,CONTINUOUS VENTILATOR,Malfunction,I,CPI - DEL CARIBE
558,1,GLUCOSE MONITORING SYS/KIT,Malfunction,,ROCHE DIAGNOSTICS
561,1,INSULIN INFUSION PUMP / SENSOR AUGMENTED,Malfunction,I,PHILIPS MEDICAL SYSTEMS
562,1,LEAD,Malfunction,OTHER,BAXTER HEALTHCARE
563,1,DEFIBRILLATOR/PACEMAKER,Malfunction,,MEDTRONIC
565,1,CORONARY DILATATION CATHETER,Malfunction,UNKNOWN,INVACARE TAYLOR STREET
567,1,INSULIN INFUSION PUMP,Malfunction,,ETHICON
568,1,,Malfunction,,CONVATEC PROFESSIONAL SERVICES
569,1,INSULIN PUMP,Injury,,BAXTER HEALTHCARE
570,1,LATERAL BENDER,Malfunction,,HILL-ROM INC
572,1,"CATHETER, INTRAVASCULAR, DIAGNOSTIC",Malfunction,,STRYKER
573,1,DISCONNECT CAP,Malfunction,,MEDTRONIC
575,1,"SYSTEM, PERITONEAL, AUTOMATIC DELIVERY",Malfunction,,TERUMO CARDIOVASCULAR SYSTEM CORP.
576,1,FLUOROSCOPIC X-RAY,Malfunction,,UNITED STATES SURGICAL
578,1,CATHETER,Malfunction,UNKNOWN,MDT PUERTO RICO OPERATIONS CO
579,1,INFUSION PUMP,Malfunction,,COVIDIEN
580,1,BTR - TRACHEAL TUBE,Malfunction,HOSPITAL,GUIDANT
581,1,,Injury,OTHER,ETHICON
582,1,FLUOROSCOPIC X-RAY,Malfunction,,LIFESCAN INC.
583,1,INTRAOCULAR LENS FOLDERS AND INJECTORS,Malfunction,,SIEMENS HEALTHCARE DIAGNOSTICS
584,1,TRACHEOSTOMY TUBES,Injury,,BAXTER HEALTHCARE
585,1,LIGHTSOURCE,Malfunction,,CPI - DEL CARIBE
586,1,GLUCOSE MONITORING SYS/KIT,Malfunction,OTHER,MEDTRONIC
589,1,IMPLANTABLE PULSE GENERATOR,Injury,HOSPITAL,ARROW INTERNATIONAL
590,1,NUCLEAR MEDICINE EQUIPMENT,Malfunction,,ANIMAS CORPORATION
591,1,MDS,Malfunction,I,MEDTRONIC
592,1,BATTERY,Malfunction,,BAXTER HEALTHCARE
594,1,INSULIN INFUSION PUMP / SENSOR AUGMENTED,Malfunction,,AGFA HEALTHCARE CORP
595,1,ANGIOGRAPHIC CATHETER SET,Malfunction,,MEDTRONIC
598,1,"PUMP, INFUSION, ELASTOMERIC",Malfunction,,"LIFESCAN EUROPE, A DIVISION OF CILAG GMBH INTL"
600,1,HOMECHOICE CASSETTE,Malfunction,,ORTHO-CLINICAL DIAGNOSTICS
602,1,"KNS, ENDOSCOPIC ELECTROSURGICAL UNIT AND ACCESSORIES",Malfunction,,"LIFESCAN EUROPE, A DIVISION OF CILAG GMBH INTL"
603,1,"PUMP, INFUSION",Malfunction,,CARDIAC PACEMAKERS
605,1,DEFIBRILLATOR,Malfunction,I,GE OEC MEDICAL SYSTEMS
606,1,INFUSION PUMP,Malfunction,,STRYKER
607,1,SURGICAL FIBER,Malfunction,,MEDTRONIC
608,1,"PUMP, INFUSION",Malfunction,,AMERICAN MEDICAL SYSTEMS
609,1,INFUSION PUMP,Malfunction,,KENDALL
611,1,"SYSTEM, PERITONEAL, AUTOMATIC DELIVERY",Malfunction,,COVIDIEN
613,1,ULTRAFLEX NG ESOPHAGEAL STENT,Malfunction,,J&J
614,1,"SYSTEM, PERITONEAL, AUTOMATIC DELIVERY",Malfunction,,INVACARE TAYLOR STREET
615,1,INSULIN INFUSION PUMP / SENSOR AUGMENTED,Malfunction,,STRYKER
616,1,DEFIBRILLATION LEAD,Injury,,ST JUDE MEDICAL CARDIAC RHYTHM MANAGEMENT DIVISION
617,1,"IMPLANTABLE CARDIOVERTER DEFIBRILLATOR, NIK",Malfunction,OTHER,UNITED STATES SURGICAL
618,1,CLINICAL CHEMISTRY SYSTEM,Malfunction,,GE OEC MEDICAL SYSTEMS
619,1,SURGICAL FIBER,Malfunction,,ST. JUDE MEDICAL INC. CRMD
622,1,,Malfunction,,USSC PUERTO RICO
623,1,"TABLE TOP CHEMICAL STERILIZER, CHEMICLAVE",No answer provided,,ARIZONA DEVICE MANUFACTURING
624,1,BILIARY WALLSTENT W/ MONORAIL DELIVERY SYSTEM,Malfunction,,MEDISYSTEMS
625,1,WEARABLE CARDIOVERTER DEFIBRILLATOR,Malfunction,,"WRIGHT MEDICAL TECHNOLOGY, INC"
626,1,"ELECTRODE, PACEMAKER, PERMANENT",Injury,,BAXTER HEALTHCARE
627,1,PROGRAMMING SOFTWARE,Malfunction,OTHER,GAMBRO DIAYLSATOREN GMBH
628,1,"SYSTEM, PERITONEAL, AUTOMATIC DELIVERY",Malfunction,,ST. JUDE MEDICAL INC. CRMD
629,1,DIALYZER,Injury,HOSPITAL,GE OEC MEDICAL SYSTEMS
630,1,INSULIN PUMP,Malfunction,,"LIFESCAN EUROPE, A DIVISION OF CILAG GMBH INTL"
631,1,BLOOD GLUCOSE MONITORING KIT/SYSTEM,Malfunction,NOT APPLICABLE,AGFA HEALTHCARE CORP
632,1,MEDIPORT,Injury,HOSPITAL,MEDTRONIC
633,1,GLUCOSE MONITORING SYS/KIT,Malfunction,,BOSTON SCIENTIFIC
635,1,"CATHETER, INTRAVASCULAR, THERAPEUTIC, LONG-TERM GREATER THAN 30 DAYS",Malfunction,HOSPITAL,BAXTER HLTHCARE CORP
637,1,TFCC FAST FIX KIT,Malfunction,HOSPITAL,"LIFESCAN EUROPE, A DIVISION OF CILAG GMBH INTL"
639,1,PLASMA EXCHANGER,Malfunction,HOSPITAL,MEDTRONIC
641,1,,Injury,OTHER,BAUSCH & LOMB
644,1,AUTOMATED CELL COUNTER,Other,,MPRI
645,1,"SYSTEM, PERITONEAL, AUTOMATIC DELIVERY",Malfunction,,ST. JUDE MEDICAL INC. CRMD
646,1,"PUMP, INFUSION",Malfunction,,"LIFESCAN EUROPE, A DIVISION OF CILAG GMBH INTL"
647,1,INSULIN INFUSION PUMP,Malfunction,,INVACARE FLORIDA OPERATIONS
648,1,"PULSE-GENERATOR, DUAL CHAMBER, IMPLANTABLE",Malfunction,HOSPITAL,HOSPIRA
649,1,2.4 MM VA-LCP 2-CLMN VLR DSTL RADIUS PLATE,Malfunction,,THERAKOS
654,1,PICTURE ARCHIVING AND COMMUNICATION,Malfunction,,ETHICON
656,1,"STENT, CORONARY, DRUG-ELUTING",Malfunction,,ANIMAS CORPORATION
658,1,DEFIBRILLATOR/PACEMAKER,Malfunction,,UNITED STATES SURGICAL
659,1,"FZP CLIP, IMPLANTABLE",Malfunction,,UNITED STATES SURGICAL
661,1,"GENERATOR, OXYGEN, PORTABLE",Malfunction,,STAAR SURGICAL
662,1,WEARABLE CARDIOVERTER DEFIBRILLATOR,Malfunction,I,ZIMMER SPINE
663,1,VASCULAR CLAMP,Malfunction,HOSPITAL,HILL-ROM DE MEXICO S DE RL DE CV
664,1,,Malfunction,,STRYKER
665,1,"STENT, CARDIOVASCULAR",Malfunction,HOSPITAL,CORDIS CORPORATION
666,1,NEUROLOGICAL STEREOTAXIC INSTRUMENT,Malfunction,,STRYKER
668,1,INSULIN INFUSION PUMP,Malfunction,,ETHICON
669,1,"SYSTEM, PERITONEAL, AUTOMATIC DELIVERY",Malfunction,,ST. JUDE MEDICAL INC. CRMD
670,1,GLUCOSE MONITORING SYS/KIT,Malfunction,,COSTA RICA
672,1,888.4540 ORTHOPEDIC MAN SURG. INSTRUMENT,Other,,BAXTER HEALTHCARE
674,1,TRANSVENOUS DEFIBRILLATION LEAD,Malfunction,HOSPITAL,"LIFESCAN EUROPE, A DIVISION OF CILAG GMBH INTL"
676,1,DISPOSABLES,Malfunction,,HOSPIRA
677,1,BLOOD GLUCOSE MONITORING DEVICE - NBW,Malfunction,OTHER,MEDTRONIC
678,1,IMPLANT,Malfunction,,"LIFESCAN EUROPE, A DIVISION OF CILAG GMBH INTL"
679,1,,Malfunction,,USSC - AUTOSUTURE
680,1,TEMPLATE,Malfunction,,AV-TEMECULA-CT
681,1,OZO,Malfunction,,LIFESCAN INC.
682,1,"VENTILATOR, CONTINUOUS, MINIMAL VENTILATORY SUPPORT,FACILITY USE",Malfunction,I,BOSTON SCIENTIFIC
685,1,IMPLANTABLE PACEMAKER/CARDIO/DEFIB,Injury,HOSPITAL,HILL-ROM INC
686,1,FLUOROSCOPIC X-RAY,Malfunction,,MERCURY MEDICAL
692,1,ARROW MULTI LUMEN CVC KIT,Injury,,J&J
693,1,IMPLANTABLE LEAD,Injury,HOSPITAL,MDT PUERTO RICO OPERATIONS CO
694,1,"PUMP, INFUSION, ELASTOMERIC",Malfunction,,MPRI
695,1,VENTILATOR,Malfunction,I,ROCHE DIAGNOSTICS
696,1,BLOOD GLUCOSE TEST STRIPS,Malfunction,,ANIMAS CORPORATION
697,1,OZO,Malfunction,,BAXTER HEALTHCARE
700,1,"CLIP, IMPLANTABLE",Malfunction,I,INVACARE SUZHOU
701,1,"SYSTEM, PERITONEAL, AUTOMATIC DELIVERY",Malfunction,,ROCHE DIAGNOSTICS
702,1,"STIMULATOR, SPINAL-CORD, TOTALLY IMPLANTED FOR PAIN RELIEF",Malfunction,I,MEDTRONIC
703,1,CLINICAL CHEMSTRY ANALYZER,Malfunction,,"ALERE SAN DIEGO, INC"
706,1,INSULIN INFUSION PUMP / SENSOR AUGMENTED,Malfunction,,CPI - DEL CARIBE
707,1,"SYSTEM, PERITONEAL, AUTOMATIC DELIVERY",Malfunction,,"BARD PERIPHERAL VASCULAR SYSTEM, INC."
708,1,HEMODIALYSIS MACHINE,Death,HOSPITAL,MPRI
709,1,AUTOMATED IMMUNOASSAY ANALYZER,Malfunction,,HILL-ROM INC
711,1,"AORTIC VALVE, PROSTHESIS, PERCUTANEOUSLY DELIVERED",Malfunction,,LIFESCAN INC.
712,1,BZE,Malfunction,,"PHYSIO-CONTROL, INC"
713,1,NONE,Malfunction,,ST. JUDE MEDICAL INC. CRMD
714,1,IMPLANTABLE DEFIBRILLATOR,Injury,,BAXTER HEALTHCARE
717,1,DEFIBRILLATION LEAD,Injury,I,CL CLEVELAND PLANT (REL)
718,1,"STAPLE, IMPLANTABLE",Malfunction,,MDT PUERTO RICO OPERATIONS CO
719,1,CATHETER,Injury,HOSPITAL,"RANIR, LLC."
722,1,INSULIN INFUSION PUMP / SENSOR AUGMENTED,Malfunction,,J&J
725,1,CARDIOPULMONARY HEART LUNG MACHINE,Malfunction,,"ENCORE MEDICAL, L.P."
726,1,INFUSION PUMP,Malfunction,,MDT PUERTO RICO OPERATIONS CO
728,1,"SYSTEM, PERITONEAL, AUTOMATIC DELIVERY",Malfunction,,COCHLEAR LTD
729,1,80FRN,Malfunction,,BAXTER HEALTHCARE
730,1,ORTHOPEDIC MANUAL SURGICAL INSTRUMENT,Malfunction,I,AMERICAN MEDICAL SYSTEMS
731,1,GLUCOSE MONITORING SYS/KIT,Malfunction,,MDT PUERTO RICO OPERATIONS CO
732,1,CORONARY STENT SYSTEM,Malfunction,,"CR BARD, INC."
733,1,,Malfunction,,ROCHE DIABETES CARE AG
734,1,INSULIN INFUSION PUMP,Malfunction,,HILL-ROM RITTER
735,1,FLUOROSCOPIC X-RAY,Malfunction,,BOSTON SCIENTIFIC
736,1,OZO,Malfunction,,DEPUY ORTHOPAEDICS INC
737,1,IMPLANTABLE TACHY LEAD,Malfunction,HOSPITAL,UNITED STATES SURGICAL
738,1,IMPLANT-SPACER,Malfunction,,BAXTER HEALTHCARE
739,1,A/C POWERED HOSPITAL BED,Malfunction,,GUIDANT
740,1,LITE GLOVE,Malfunction,I,MEDTRONIC
741,1,DISPOSABLE SURGICAL STAPLER,Injury,,MEDTRONIC
742,1,GLUCOSE MONITORING SYS/KIT,Malfunction,OTHER,ZOLL
743,1,INSULIN INFUSION PUMP / SENSOR AUGMENTED,Malfunction,I,MEDTRONIC
745,1,INSULIN INFUSION PUMP,Malfunction,I,BAXTER HEALTHCARE
746,1,FLUOROSCOPIC X-RAY,Malfunction,,BIOMET 3I
747,1,MDS,Malfunction,,"THE ANSPACH EFFORT, INC."
748,1,CORONARY STENT SYSTEM,Malfunction,,BAXTER HEALTHCARE
749,1,"STIMULATOR, ELECTRICAL, IMPLANTABLE, FOR INCONTINENCE",Injury,I,CYBERONICS
750,1,880.5510,Malfunction,,MDT PUERTO RICO OPERATIONS CO
752,1,IMPLANTABLE CARDIOVERTER DEFIBRILLATOR,Malfunction,,"LIFESCAN EUROPE, A DIVISION OF CILAG GMBH INTL"
754,1,NONE,Malfunction,,RICE CREEK MANUFACTURING
757,1,"PUMP, INFUSION",Malfunction,,SHARP CORPORATION OSAKA JAPAN
759,1,,Malfunction,,HILL-ROM RITTER
760,1,BRAVO PH CAPSULE,Malfunction,,BECKMAN COULTER
762,1,"STENT, CORONARY, DRUG-ELUTING",Malfunction,I,MINIMED INC
763,1,"PLATE, FIXATION",Malfunction,,MDT PUERTO RICO OPERATIONS CO
766,1,"ELECTROSURGICAL, CUTTING & COAGULATION & ACCESSORIES",Malfunction,HOSPITAL,C. R. BARD INC. (BASD)
768,1,RESERVOIR,Malfunction,,DEXCOM INC
769,1,868.5440,Malfunction,,MEDTRONIC
771,1,,Malfunction,,"WRIGHT MEDICAL TECHNOLOGY, INC"
772,1,GLUCOSE MONITORING SYS/KIT,Malfunction,,MEDTRONIC
773,1,GLUCOSE MONITORING SYS/KIT,Malfunction,,SMITHS MEDICAL
774,1,IMPLANTABLE LEAD,Malfunction,HOSPITAL,BAYER HEALTHCARE LLC
778,1,AC-POWERED ADJUSTABLE HOSPITAL BED,Malfunction,,STRYKER
780,1,PTA CATHETERS (LIT),Malfunction,,STRYKER
781,1,868.5440,Malfunction,,ETHICON
782,1,"LFL INSTRUMENT, ULTRASONIC SURGICAL",Malfunction,OTHER,HILL-ROM RITTER
783,1,NONE,Injury,,DEXCOM INC
785,1,SCS LEAD,Injury,,"INTUITIVE SURGICAL, INC"
786,1,IMPLANTABLE CARDIOVERTER DEFIBRILLATOR,Injury,HOSPITAL,MENTOR WORLDWIDE LLC
787,1,FLUOROSCOPIC X-RAY,Malfunction,,LIFESCAN INC.
788,1,BLOOD GLUCOSE MONITORING DEVICE,Malfunction,U,ST JUDE MEDICAL CARDIAC RHYTHM MANAGEMENT DIVISION
789,1,"SYSTEM, PERITONEAL, AUTOMATIC DELIVERY",Malfunction,,ABBOTT DIAGNOSTICS DIVISION
790,1,"GENERATOR, OXYGEN, PORTABLE",Malfunction,,HILL-ROM INC
791,1,"STIMULATOR, ELECTRICAL, IMPLANTABLE, FOR INCONTINENCE",Injury,,CPI - DEL CARIBE
792,1,DEFIBRILLATOR,Malfunction,,BAXTER HEALTHCARE
793,1,,Malfunction,OTHER,GE OEC MEDICAL SYSTEMS
795,1,GLUCOSE MONITORING SYS/KIT,Malfunction,,POPULAR PLASTICS
796,1,"STAPLE, IMPLANTABLE",Malfunction,,ANIMAS CORPORATION
797,1,"LAPAROSCOPE, GYNECOLOGIC",Malfunction,HOSPITAL,BAXTER HEALTHCARE
798,1,IMPLANTABLE LEAD,Injury,NOT APPLICABLE,PHILIPS MEDICAL SYSTEMS
800,1,BLOOD GLUCOSE METER,Malfunction,,ETHICON
801,1,SYRINGE INFUSION PUMP,Malfunction,HOSPITAL,BECTON DICKINSON
803,1,INSULIN INFUSION PUMP,Malfunction,,DEPUY ORTHOPAEDICS INC
804,1,"PUMP, INFUSION",Malfunction,,HILL-ROM INC
805,1,ENDOSCOPE,Malfunction,,ETHICON
807,1,CLAMPLESS BEATING HEART,Malfunction,,TERUMO CARDIOVASCULAR SYSTEM CORP.
808,1,INTRAOCULAR LENS,Injury,,INVACARE TAYLOR STREET
809,1,FMT,Malfunction,,ETHICON
813,1,AUTOMATED DIFFERENTIAL CELL COUNTER,Malfunction,,ROCHE DIAGNOSTICS
814,1,BLOOD GLUCOSE MONITORING KIT/SYSTEM,Malfunction,NOT APPLICABLE,BAXTER HEALTHCARE
815,1,GLUCOSE MONITORING SYS/KIT,Malfunction,NOT APPLICABLE,ENTERO MEDIC
816,1,,Malfunction,,BAXTER HEALTHCARE
817,1,,Injury,,GUIDANT
819,1,"GENERATOR, OXYGEN, PORTABLE",Malfunction,I,BOSTON SCIENTIFIC
822,1,TRACHEOSTOMY TUBE,Malfunction,I,BAXTER HEALTHCARE
824,1,LANCET DEVICE,Malfunction,OTHER,GREATBATCH MEDICAL
825,1,INSULIN INFUSION PUMP,Malfunction,,MEDTRONIC
826,1,IMPLANTABLE TACHY LEAD,Malfunction,HOSPITAL,CYBERONICS
827,1,AED,Malfunction,,STRYKER
829,1,"PUMP, INFUSION",Malfunction,,CODMAN   SHURTLEFF
830,1,INSULIN INFUSION PUMP / SENSOR AUGMENTED,Malfunction,,MEDTRONIC
832,1,CLINICAL CHEMISTRY ANALYZER - JJE,Malfunction,OTHER,BAXTER HEALTHCARE
835,1,890.3850,Malfunction,,ABBOTT DIABETES CARE
836,1,VOLUME VENTILATOR,Malfunction,,BAXTER HEALTHCARE
837,1,TROCARS,Malfunction,NOT APPLICABLE,ORTHO-CLINICAL DIAGNOSTICS
839,1,WOUND DRESSING,Injury,HOSPITAL,ZIMMER INC
842,1,INFUSION PUMP,Malfunction,,ROCHE DIAGNOSTICS
843,1,A/C POWERED ADJUSTABLE HOSPITAL BED,Malfunction,,MDT PUERTO RICO OPERATIONS CO
844,1,IMPLANTABLE CARDIOVERTER DEFIBRILLATOR,Malfunction,OUTPATIENT TREATMENT FACILITY,ZOLL
846,1,"DRILLS, SURGICAL ENT (ELECTRIC OR PNEUMATIC), INC",Malfunction,,STRYKER
847,1,,Malfunction,OTHER,MPRI
848,1,OPHTHALMIC SURGERY SYSTEM,Malfunction,,ANIMAS CORPORATION
849,1,,Malfunction,,FISHER & PAYKEL
850,1,SURGICAL  STAPLER,Malfunction,HOSPITAL,DATEX-OHMEDA
851,1,RESERVOIR,Malfunction,,BAXTER HEALTHCARE
852,1,INSULIN INFUSION PUMP / SENSOR AUGMENTED,Malfunction,,CYBERONICS
854,1,LIGASURE VESSEL SEALING SYSTEM,Malfunction,,MDT PUERTO RICO OPERATIONS CO
855,1,IMPLANTABLE CHF GENERATOR,Injury,HOSPITAL,SURGICAL SPECIALTIES PUERTO RICO INC.
857,1,"STAPLE, IMPLANTABLE",Malfunction,I,BAXTER HEALTHCARE
859,1,GLUCOSE MONITORING SYS/KIT,Malfunction,OTHER,MEDTRONIC
863,1,IMMULITE 2000 ANDROSTENEDIONE,Malfunction,,HEARTSINE TECHNOLOGIES LTD
864,1,HOMECHOICE CASSETTE,Malfunction,,HORIZON MEDICAL PRODUCTS
866,1,IMPLANTABLE HF LEAD,Malfunction,OUTPATIENT TREATMENT FACILITY,PHILIPS MEDICAL SYSTEMS
867,1,IMPLANTABLE TACHY LEAD,Injury,HOSPITAL,INVACARE FLORIDA OPERATIONS
869,1,IMPLANTABLE LEAD,Injury,,LIFESCAN INC.
870,1,"ETN - STIMULATOR, NERVE",Malfunction,,BOSTON SCIENTIFIC
871,1,PERIPHERAL CATHETER PRODUCTS,Malfunction,,CORDIS DE MEXICO
872,1,INSULIN INFUSION PUMP,Malfunction,I,PHILIPS MEDICAL SYSTEMS
873,1,"PULSE GENERATOR, PERMANENT, IMPLANTABLE",Injury,,BAXTER HEALTHCARE
875,1,INFUSION PUMP,Malfunction,,CPI - DEL CARIBE
877,1,"DEFIBRILLATOR, AUTOMATIC IMPLANTABLE CARDIOVERTER",Injury,,INVACARE SUZHOU
878,1,PICTURE ARCHIVING AND COMMUNICATION,Malfunction,,STRYKER
879,1,IMPLANTABLE PACING LEAD,Malfunction,HOSPITAL,"C.T.M. HOMECARE PRODUCT, INC"
880,1,GLUCOSE MONITORING SYS/KIT,Malfunction,,ST JUDE MEDICAL - NEUROMODULATION
881,1,IMPLANTABLE LEAD,Injury,,HILL-ROM INC
882,1,GLUCOSE MONITORING SYS/KIT,Malfunction,,MEDTRONIC
883,1,ICD,Injury,HOSPITAL,DEXCOM INC
884,1,IN-VITRO DIAGNOSTIC,Malfunction,,BAXTER HEALTHCARE
885,1,IMPLANTABLE PACEMAKER/CARDIO/DEFIB,Injury,HOSPITAL,DEPUY SYNTHES
886,1,GLUCOSE MONITORING SYS/KIT,Malfunction,,MEDTRONIC
887,1,IMPLANTABLE LEAD,Malfunction,HOSPITAL,BAXTER HEALTHCARE
888,1,IMPLANTABLE PACING LEAD,Injury,HOSPITAL,BAXTER HEALTHCARE
893,1,FLUOROSCOPIC X-RAY,Malfunction,,MPRI
895,1,"INSTRUMENT, SURGICAL, ORTHOPEDIC, DC-POWERED MOTOR",Malfunction,,MEDTRONIC
897,1,IMPLANTABLE PACING LEAD,Malfunction,HOSPITAL,"1219655 DEPUY-RAYNHAM, A DIV. OF DEPUY ORTHOPAEDIC"
898,1,SURGICAL FIBER,Malfunction,,MEDTRONIC
899,1,1000 ML BAGS WITH TUBING,Malfunction,HOME,ETHICON
901,1,DISPOSABLES,Malfunction,,ANIMAS CORPORATION
903,1,ELECTROSURGICAL GENERATOR,Malfunction,,ETHICON
904,1,INSULIN INFUSION PUMP,Malfunction,,HILL-ROM INC
905,1,,Malfunction,,TANDEM DIABETES CARE
906,1,"WHEELCHAIR, POWERED",Malfunction,,ANIMAS CORPORATION
907,1,NEUROLOGICAL STEREOTAXIC INSTRUMENT,Malfunction,,GE MEDICAL SYSTEMS (INDIA) PRIVATE LTD
909,1,IMPLANTABLE CARDIOVERTER DEFIBRILLATOR,Malfunction,HOSPITAL,SYNTHES OBERDORF
910,1,DISPOSABLE SURGICAL INSTRUMENT,Malfunction,HOSPITAL,COVIDIEN
911,1,FLUOROSCOPIC X-RAY,Malfunction,I,CARDIAC PACEMAKERS
912,1,PERMANENT PACEMAKER ELECTRODE,Malfunction,,GUIDANT
913,1,INSULIN INFUSION PUMP,Malfunction,,MEDTRONIC
915,1,"STAPLE, IMPLANTABLE",Malfunction,,I-FLOW CORPORATION
916,1,ENDOSCOPIC STAPLER,Malfunction,HOSPITAL,"LIFESCAN EUROPE, A DIVISION OF CILAG GMBH INTL"
917,1,,Malfunction,OTHER,QUICKIE DESIGNS INC.
918,1,CLAMP USED IN PERITONEAL DIALYSIS,Injury,,ALCON - IRVINE TECHNOLOGY CENTER
919,1,,Injury,HOSPITAL,UNITED STATES SURGICAL
920,1,INFUSION PUMP,Malfunction,,ETHICON
922,1,,Malfunction,,MEDTRONIC
